Time,altitude via coords,altitude via ecc ano,altitude via true ano
270,538662.599466,538662.599466,538662.599466
271,538656.018535,538656.018535,538656.018535
272,538649.471630,538649.471630,538649.471630
273,538642.958760,538642.958760,538642.958760
274,538636.479933,538636.479933,538636.479933
275,538630.035156,538630.035156,538630.035156
276,538623.624437,538623.624437,538623.624437
277,538617.247785,538617.247785,538617.247785
278,538610.905206,538610.905206,538610.905206
279,538604.596709,538604.596709,538604.596709
280,538598.322302,538598.322302,538598.322302
281,538592.081992,538592.081992,538592.081992
282,538585.875786,538585.875786,538585.875786
283,538579.703693,538579.703693,538579.703693
284,538573.565720,538573.565720,538573.565720
285,538567.461874,538567.461874,538567.461874
286,538561.392163,538561.392163,538561.392163
287,538555.356595,538555.356595,538555.356595
288,538549.355176,538549.355176,538549.355176
289,538543.387914,538543.387914,538543.387914
290,538537.454816,538537.454816,538537.454816
291,538531.555890,538531.555890,538531.555890
292,538525.691143,538525.691143,538525.691143
293,538519.860582,538519.860582,538519.860582
294,538514.064214,538514.064214,538514.064214
295,538508.302046,538508.302046,538508.302046
296,538502.574085,538502.574085,538502.574085
297,538496.880338,538496.880338,538496.880338
298,538491.220813,538491.220813,538491.220813
299,538485.595516,538485.595516,538485.595516
300,538480.004454,538480.004454,538480.004454
301,538474.447634,538474.447634,538474.447634
302,538468.925062,538468.925062,538468.925062
303,538463.436746,538463.436746,538463.436746
304,538457.982692,538457.982692,538457.982692
305,538452.562906,538452.562906,538452.562906
306,538447.177396,538447.177396,538447.177396
307,538441.826168,538441.826168,538441.826168
308,538436.509229,538436.509229,538436.509229
309,538431.226585,538431.226585,538431.226585
310,538425.978242,538425.978242,538425.978242
311,538420.764207,538420.764207,538420.764207
312,538415.584487,538415.584487,538415.584487
313,538410.439087,538410.439087,538410.439087
314,538405.328014,538405.328014,538405.328014
315,538400.251274,538400.251274,538400.251274
316,538395.208874,538395.208874,538395.208874
317,538390.200819,538390.200819,538390.200819
318,538385.227116,538385.227116,538385.227116
319,538380.287771,538380.287771,538380.287771
320,538375.382790,538375.382790,538375.382790
321,538370.512178,538370.512178,538370.512178
322,538365.675943,538365.675943,538365.675943
323,538360.874089,538360.874089,538360.874089
324,538356.106622,538356.106622,538356.106622
