Time,altitude via 2D coords,altitude via 3D coords,altitude via ecc ano,altitude via true ano
98,423682.383535,421608.510344,423682.383535,423682.383535
99,423687.184368,421610.005680,423687.184368,423687.184368
100,423691.986042,421611.499226,423691.986042,423691.986042
101,423696.788550,421612.990977,423696.788550,423696.788550
102,423701.591887,421614.480926,423701.591887,423701.591887
103,423706.396045,421615.969068,423706.396045,423706.396045
104,423711.201019,421617.455395,423711.201019,423711.201019
105,423716.006803,421618.939903,423716.006803,423716.006803
106,423720.813390,421620.422585,423720.813390,423720.813390
107,423725.620775,421621.903435,423725.620775,423725.620775
108,423730.428952,421623.382446,423730.428952,423730.428952
109,423735.237914,421624.859613,423735.237914,423735.237914
110,423740.047655,421626.334930,423740.047655,423740.047655
111,423744.858169,421627.808390,423744.858169,423744.858169
112,423749.669450,421629.279988,423749.669450,423749.669450
113,423754.481492,421630.749717,423754.481492,423754.481492
114,423759.294288,421632.217571,423759.294288,423759.294288
115,423764.107834,421633.683544,423764.107834,423764.107834
116,423768.922122,421635.147630,423768.922122,423768.922122
117,423773.737146,421636.609823,423773.737146,423773.737146
118,423778.552900,421638.070117,423778.552900,423778.552900
119,423783.369379,421639.528505,423783.369379,423783.369379
120,423788.186576,421640.984982,423788.186576,423788.186576
121,423793.004485,421642.439542,423793.004485,423793.004485
122,423797.823099,421643.892177,423797.823099,423797.823099
123,423802.642413,421645.342883,423802.642413,423802.642413
124,423807.462421,421646.791653,423807.462421,423807.462421
125,423812.283116,421648.238480,423812.283116,423812.283116
126,423817.104492,421649.683360,423817.104492,423817.104492
127,423821.926544,421651.126285,423821.926544,423821.926544
128,423826.749264,421652.567250,423826.749264,423826.749264
129,423831.572648,421654.006248,423831.572648,423831.572648
130,423836.396688,421655.443273,423836.396688,423836.396688
131,423841.221379,421656.878320,423841.221379,423841.221379
132,423846.046714,421658.311382,423846.046714,423846.046714
133,423850.872688,421659.742453,423850.872688,423850.872688
134,423855.699294,421661.171526,423855.699294,423855.699294
135,423860.526526,421662.598597,423860.526526,423860.526526
136,423865.354378,421664.023658,423865.354378,423865.354378
137,423870.182844,421665.446703,423870.182844,423870.182844
138,423875.011918,421666.867727,423875.011918,423875.011918
139,423879.841593,421668.286723,423879.841593,423879.841593
140,423884.671864,421669.703685,423884.671864,423884.671864
141,423889.502724,421671.118606,423889.502724,423889.502724
142,423894.334167,421672.531482,423894.334167,423894.334167
143,423899.166187,421673.942306,423899.166187,423899.166187
144,423903.998778,421675.351071,423903.998778,423903.998778
145,423908.831934,421676.757771,423908.831934,423908.831934
146,423913.665649,421678.162401,423913.665649,423913.665649
147,423918.499915,421679.564954,423918.499915,423918.499915
148,423923.334729,421680.965423,423923.334729,423923.334729
149,423928.170082,421682.363804,423928.170082,423928.170082
150,423933.005969,421683.760090,423933.005969,423933.005969
151,423937.842384,421685.154274,423937.842384,423937.842384
152,423942.679321,421686.546350,423942.679321,423942.679321
153,423947.516774,421687.936313,423947.516774,423947.516774
154,423952.354736,421689.324156,423952.354736,423952.354736
155,423957.193201,421690.709874,423957.193201,423957.193201
156,423962.032163,421692.093459,423962.032163,423962.032163
157,423966.871617,421693.474905,423966.871617,423966.871617
