Time,altitude via coords,altitude via ecc ano,altitude via true ano
254,6793229.653594,6797788.713773,6797788.713773
255,6793225.648417,6797792.718950,6797792.718950
256,6793221.646141,6797796.721226,6797796.721226
257,6793217.646771,6797800.720596,6797800.720596
258,6793213.650313,6797804.717055,6797804.717055
259,6793209.656770,6797808.710597,6797808.710597
260,6793205.666149,6797812.701219,6797812.701219
261,6793201.678454,6797816.688914,6797816.688914
262,6793197.693690,6797820.673678,6797820.673678
263,6793193.711863,6797824.655505,6797824.655505
264,6793189.732977,6797828.634391,6797828.634391
265,6793185.757037,6797832.610330,6797832.610330
266,6793181.784049,6797836.583318,6797836.583318
267,6793177.814018,6797840.553349,6797840.553349
268,6793173.846948,6797844.520419,6797844.520419
269,6793169.882845,6797848.484522,6797848.484522
270,6793165.921714,6797852.445654,6797852.445654
271,6793161.963559,6797856.403808,6797856.403808
272,6793158.008386,6797860.358981,6797860.358981
273,6793154.056200,6797864.311168,6797864.311168
274,6793150.107005,6797868.260363,6797868.260363
275,6793146.160807,6797872.206560,6797872.206560
276,6793142.217611,6797876.149757,6797876.149757
277,6793138.277421,6797880.089946,6797880.089946
278,6793134.340243,6797884.027124,6797884.027124
279,6793130.406082,6797887.961285,6797887.961285
280,6793126.474943,6797891.892425,6797891.892425
281,6793122.546830,6797895.820537,6797895.820537
282,6793118.621749,6797899.745618,6797899.745618
283,6793114.699705,6797903.667663,6797903.667663
284,6793110.780702,6797907.586666,6797907.586666
285,6793106.864745,6797911.502622,6797911.502622
286,6793102.951841,6797915.415527,6797915.415527
287,6793099.041992,6797919.325375,6797919.325375
288,6793095.135206,6797923.232162,6797923.232162
289,6793091.231485,6797927.135882,6797927.135882
290,6793087.330836,6797931.036532,6797931.036532
291,6793083.433263,6797934.934104,6797934.934104
292,6793079.538772,6797938.828596,6797938.828596
293,6793075.647366,6797942.720001,6797942.720001
294,6793071.759052,6797946.608316,6797946.608316
295,6793067.873833,6797950.493534,6797950.493534
296,6793063.991716,6797954.375651,6797954.375651
297,6793060.112705,6797958.254663,6797958.254663
298,6793056.236804,6797962.130564,6797962.130564
299,6793052.364019,6797966.003349,6797966.003349
300,6793048.494354,6797969.873013,6797969.873013
301,6793044.627816,6797973.739552,6797973.739552
302,6793040.764407,6797977.602960,6797977.602960
303,6793036.904134,6797981.463234,6797981.463234
304,6793033.047001,6797985.320367,6797985.320367
305,6793029.193013,6797989.174355,6797989.174355
306,6793025.342175,6797993.025192,6797993.025192
307,6793021.494492,6797996.872876,6797996.872876
308,6793017.649969,6798000.717399,6798000.717399
309,6793013.808610,6798004.558758,6798004.558758
310,6793009.970421,6798008.396947,6798008.396947
311,6793006.135406,6798012.231962,6798012.231962
312,6793002.303570,6798016.063797,6798016.063797
313,6792998.474918,6798019.892449,6798019.892449
314,6792994.649456,6798023.717912,6798023.717912
315,6792990.827187,6798027.540181,6798027.540181
316,6792987.008116,6798031.359251,6798031.359251
317,6792983.192249,6798035.175118,6798035.175118
318,6792979.379590,6798038.987777,6798038.987777
319,6792975.570145,6798042.797223,6798042.797223
320,6792971.763917,6798046.603450,6798046.603450
321,6792967.960912,6798050.406455,6798050.406455
322,6792964.161135,6798054.206232,6798054.206232
323,6792960.364590,6798058.002777,6798058.002777
324,6792956.571282,6798061.796085,6798061.796085
325,6792952.781217,6798065.586151,6798065.586151
326,6792948.994398,6798069.372970,6798069.372970
327,6792945.210830,6798073.156537,6798073.156537
328,6792941.430520,6798076.936848,6798076.936848
329,6792937.653470,6798080.713898,6798080.713898
330,6792933.879686,6798084.487681,6798084.487681
331,6792930.109173,6798088.258194,6798088.258194
332,6792926.341936,6798092.025431,6798092.025431
333,6792922.577979,6798095.789389,6798095.789389
334,6792918.817307,6798099.550060,6798099.550060
335,6792915.059925,6798103.307443,6798103.307443
336,6792911.305837,6798107.061530,6798107.061530
337,6792907.555049,6798110.812318,6798110.812318
338,6792903.807565,6798114.559802,6798114.559802
339,6792900.063390,6798118.303977,6798118.303977
340,6792896.322529,6798122.044839,6798122.044839
341,6792892.584986,6798125.782382,6798125.782382
342,6792888.850766,6798129.516602,6798129.516602
343,6792885.119874,6798133.247494,6798133.247494
344,6792881.392314,6798136.975053,6798136.975053
345,6792877.668092,6798140.699276,6798140.699276
346,6792873.947212,6798144.420156,6798144.420156
347,6792870.229678,6798148.137689,6798148.137689
348,6792866.515496,6798151.851872,6798151.851872
349,6792862.804670,6798155.562697,6798155.562697
350,6792859.097205,6798159.270163,6798159.270163
351,6792855.393105,6798162.974262,6798162.974262
352,6792851.692376,6798166.674992,6798166.674992
353,6792847.995021,6798170.372346,6798170.372346
354,6792844.301047,6798174.066321,6798174.066321
355,6792840.610456,6798177.756911,6798177.756911
356,6792836.923254,6798181.444113,6798181.444113
357,6792833.239447,6798185.127921,6798185.127921
358,6792829.559037,6798188.808331,6798188.808331
359,6792825.882030,6798192.485337,6798192.485337
360,6792822.208431,6798196.158936,6798196.158936
361,6792818.538245,6798199.829123,6798199.829123
362,6792814.871475,6798203.495893,6798203.495893
363,6792811.208127,6798207.159241,6798207.159241
364,6792807.548205,6798210.819163,6798210.819163
365,6792803.891713,6798214.475654,6798214.475654
366,6792800.238658,6798218.128710,6798218.128710
367,6792796.589042,6798221.778325,6798221.778325
368,6792792.942872,6798225.424496,6798225.424496
369,6792789.300150,6798229.067217,6798229.067217
370,6792785.660883,6798232.706485,6798232.706485
371,6792782.025074,6798236.342293,6798236.342293
372,6792778.392728,6798239.974639,6798239.974639
373,6792774.763851,6798243.603517,6798243.603517
374,6792771.138445,6798247.228922,6798247.228922
375,6792767.516517,6798250.850851,6798250.850851
376,6792763.898070,6798254.469297,6798254.469297
